ano_mes,tipo,link
202312,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2023/202312BLOPRUDENCIAL.csv
202401,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202401BLOPRUDENCIAL.csv
202402,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202402BLOPRUDENCIAL.csv
202403,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202403BLOPRUDENCIAL.csv
202404,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202404BLOPRUDENCIAL.csv
202405,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202405BLOPRUDENCIAL.csv
202406,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202406BLOPRUDENCIAL.csv
202407,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202407BLOPRUDENCIAL.csv
202408,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202408BLOPRUDENCIAL.csv
202409,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202409BLOPRUDENCIAL.csv
202410,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202410BLOPRUDENCIAL.csv
202411,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202411BLOPRUDENCIAL.csv
202412,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2024/202412BLOPRUDENCIAL.csv
202501,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202501BLOPRUDENCIAL.csv
202502,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202502BLOPRUDENCIAL.csv
202503,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202503BLOPRUDENCIAL.csv
202504,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202504BLOPRUDENCIAL.csv
202505,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202505BLOPRUDENCIAL.csv
202506,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202506BLOPRUDENCIAL.csv
202507,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202507BLOPRUDENCIAL.csv
202508,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202508BLOPRUDENCIAL.csv
202509,Prudencial,https://raw.githubusercontent.com/Jonathan-rms/Bacen_Data/main/Balancetes/Prudencial/2025/202509BLOPRUDENCIAL.csv
